53  36.475  18.859  -0.003   0.001  -0.109   0.001 -251.058   0.001  -0.000   0.001   0.106   0.001
54  36.483  19.361  -0.008   0.001  -0.132   0.001 -228.453   0.001  -0.000   0.001   0.124   0.001
55  36.489  19.863  -0.012   0.001  -0.152   0.001 -213.460   0.001  -0.000   0.001   0.141   0.001
56  36.493  20.365  -0.014   0.001  -0.190   0.001 -202.713   0.001  -0.000   0.001   0.176   0.001
57  36.494  20.868  -0.011   0.001  -0.143   0.001 -169.791   0.001  -0.000   0.001   0.132   0.001
58  36.494  21.370   0.001   0.001  -0.100   0.001 -121.948   0.001  -0.000   0.001   0.101   0.001
59  36.491  21.872   0.012   0.001  -0.061   0.001 -64.872   0.001  -0.000   0.001   0.072   0.001
60  36.486  22.375   0.027   0.001  -0.050   0.001 -22.675   0.001  -0.000   0.001   0.078   0.001
61  36.479  22.877   0.027   0.001  -0.050   0.001 -22.675   0.001  -0.000   0.001   0.078   0.001
62  36.470  23.379   0.404   0.001  -0.155   0.001 -219.405   0.001   0.000   0.001   0.559   0.001
63  36.459  23.881   0.101   0.001  -0.166   0.001 -317.953   0.001   0.000   0.001   0.267   0.001
64  36.446  24.382   0.002   0.001  -0.023   0.001 -103.127   0.001   0.000   0.001   0.025   0.001
65  36.431  24.883   0.029   0.001  -0.015   0.001  47.793   0.001  -0.000   0.001   0.044   0.001
66  36.414  25.384   0.025   0.001  -0.015   0.001  51.978   0.001  -0.000   0.001   0.041   0.001
67  36.394  25.884   0.014   0.001  -0.019   0.001  99.113   0.001  -0.000   0.001   0.033   0.001
68  36.373  26.384   0.009   0.001  -0.200   0.001 273.599   0.001   0.000   0.001   0.209   0.001
69  36.349  26.883   0.046   0.001  -0.224   0.001 239.458   0.001   0.000   0.001   0.270   0.001
70  36.323  27.381   0.017   0.001  -0.190   0.001 320.023   0.001   0.000   0.001   0.207   0.001
71  36.296  27.879   0.038   0.001  -0.103   0.001 -336.304   0.001   0.000   0.001   0.141   0.001
72  36.266  28.377   0.051   0.001  -0.055   0.001 -312.499   0.001   0.000   0.001   0.106   0.001
73  36.234  28.873   0.052   0.001  -0.034   0.001 -300.275   0.001   0.000   0.001   0.086   0.001
74  36.636  28.914  -0.026   0.001  -0.051   0.001 340.881   0.001  -0.000   0.001   0.024   0.001
75  36.843  17.335  -0.004   0.001  -0.077   0.001 -259.206   0.001  -0.000   0.001   0.073   0.001
76  36.858  17.839  -0.004   0.001  -0.083   0.001 -255.116   0.001  -0.000   0.001   0.079   0.001
77  36.870  18.343  -0.001   0.001  -0.109   0.001 -258.895   0.001  -0.000   0.001   0.108   0.001
78  36.880  18.847  -0.002   0.001  -0.105   0.001 -256.429   0.001  -0.000   0.001   0.103   0.001
79  36.888  19.352  -0.003   0.001  -0.094   0.001 -259.091   0.001  -0.000   0.001   0.092   0.001
80  36.894  19.857  -0.009   0.001  -0.129   0.001 -226.813   0.001  -0.000   0.001   0.119   0.001
81  36.898  20.362  -0.012   0.001  -0.128   0.001 -213.716   0.001  -0.000   0.001   0.116   0.001
82  36.900  20.867  -0.015   0.001  -0.113   0.001 -203.362   0.001  -0.000   0.001   0.098   0.001
83  36.899  21.372  -0.007   0.001  -0.104   0.001 -155.501   0.001  -0.000   0.001   0.097   0.001
84  36.897  21.877   0.482   0.001  -0.339   0.001 -187.556   0.001   0.000   0.001   0.821   0.001
85  36.892  22.382   0.033   0.001  -0.674   0.001 -355.534   0.001   0.000   0.001   0.707   0.001
86  36.885  22.887   0.019   0.001  -0.381   0.001 350.116   0.001   0.000   0.001   0.400   0.001
87  36.876  23.391   0.020   0.001  -0.042   0.001 -15.592   0.001  -0.000   0.001   0.062   0.001
88  36.865  23.896   0.005   0.001  -0.025   0.001 -76.357   0.001   0.000   0.001   0.029   0.001
89  36.851  24.400   0.002   0.001  -0.023   0.001 -96.097   0.001   0.000   0.001   0.025   0.001
90  36.836  24.904   0.017   0.001  -0.015   0.001  46.234   0.001  -0.000   0.001   0.032   0.001
91  36.818  25.407   0.001   0.001  -0.025   0.001 165.831   0.001  -0.000   0.001   0.026   0.001
92  36.798  25.910  -0.005   0.001  -0.040   0.001 240.121   0.001  -0.000   0.001   0.035   0.001
93  36.777  26.412  -0.005   0.001  -0.044   0.001 248.721   0.001  -0.000   0.001   0.039   0.001
94  36.753  26.914  -0.005   0.001  -0.045   0.001 249.222   0.001  -0.000   0.001   0.040   0.001
95  36.726  27.415  -0.005   0.001  -0.045   0.001 249.222   0.001  -0.000   0.001   0.040   0.001
96  36.698  27.915  -0.005   0.001  -0.045   0.001 249.222   0.001  -0.000   0.001   0.040   0.001
97  36.668  28.415  -0.019   0.001  -0.050   0.001 312.852   0.001  -0.000   0.001   0.031   0.001
98  36.636  28.914  -0.026   0.001  -0.051   0.001 340.881   0.001  -0.000   0.001   0.024   0.001
99  37.038  28.956  -0.022   0.001  -0.049   0.001 -341.899   0.001  -0.000   0.001   0.027   0.001
100  37.248  17.315  -0.003   0.001  -0.082   0.001 -253.963   0.001  -0.000   0.001   0.079   0.001
101  37.263  17.822  -0.003   0.001  -0.079   0.001 -258.520   0.001  -0.000   0.001   0.076   0.001
102  37.275  18.329  -0.003   0.001  -0.076   0.001 -262.270   0.001  -0.000   0.001   0.073   0.001
103  37.286  18.836   0.002   0.001  -0.086   0.001 -275.500   0.001  -0.000   0.001   0.088   0.001
104  37.294  19.343  -0.000   0.001  -0.090   0.001 -267.098   0.001  -0.000   0.001   0.090   0.001
105  37.300  19.851  -0.003   0.001  -0.094   0.001 -258.386   0.001  -0.000   0.001   0.090   0.001
