Site Lon Lat "Ve (mm/yr)" "σe (mm/yr)" "Vn (mm/yr)" "σn (mm/yr)" "# Epochs" "T (years)" "Avg Epoch time"
PRKV 26.265 39.2457 4.76 0.208 -0.25 0.198 2775 8.4959 2011.74245
PSB1 14.8107 41.22337 22.05 0.143 17.563 0.132 3413 9.7644 2011.1164
PTBB 10.45975 52.29619 18.803 0.083 15.633 0.1 5688 15.7541 2008.12155
PTRJ 14.52889 41.36434 22.198 0.26 17.351 0.217 3092 9.4548 2011.2712
PTRP 16.06079 40.53197 23.23 0.206 18.799 0.197 2729 8.4959 2011.75065
PUYV 3.87887 45.04362 19.798 0.133 16.18 0.128 4069 11.3005 2010.34835
PYLO 21.69531 36.91417 1.64 0.313 -13.01 0.261 1528 4.3534 2013.8219
QAQ1 -46.04776 60.71526 -16.683 0.21 13.3 0.225 4861 13.6082 2009.1945
RABT -6.85429 33.9981 16.313 0.119 17.87 0.115 5325 15.6229 2008.18715
RAFF 14.36237 37.22256 20.831 0.138 19.669 0.142 2872 9.9699 2011.0137
RAMO 34.76314 30.59761 23.411 0.146 19.7 0.126 5594 15.9918 2008.0027
RDPI 12.71032 41.76037 20.55 0.184 16.26 0.172 2686 9.3041 2011.34655
REDU 5.14488 50.0015 18.14 0.119 15.721 0.099 4576 12.6493 2009.67395
REDZ 17.11753 54.47238 19.338 0.17 14.541 0.183 2787 7.7459 2012.12565
RESU 14.05683 37.64677 22.32 0.191 17.45 0.199 2416 7.7457 2012.0655
REYK -21.95549 64.13879 -10.45 0.184 19.93 0.164 5766 15.9973 2008
RIGA 24.05878 56.94862 20.21 0.127 13.44 0.115 5803 15.9973 2008
RIO1 -2.4261 42.46424 18.785 0.272 16.394 0.296 1368 3.765 2014.1161
RIXH 7.37801 47.73328 19.4 0.154 16.01 0.177 1658 4.8082 2013.5945
RLSO 21.46474 38.05583 10.135 0.208 -8.464 0.17 2382 6.8082 2012.5945
RMPO 12.70322 41.8111 20.806 0.194 16.48 0.171 3310 9.5288 2011.23425
RNI2 14.15245 41.70348 22.49 0.226 17.91 0.129 4025 11.3907 2010.30325
ROPI 13.33724 42.332 21.966 0.497 17.68 0.506 2383 6.7342 2012.6315
ROVE 11.0421 45.89351 20.32 0.142 16.69 0.158 3490 10.3206 2010.83835
ROVR 11.07206 45.64695 20.581 0.227 16.507 0.169 2343 7.5328 2012.23225
RSMN 12.45075 43.93346 22.77 0.156 18.802 0.142 3977 11.0956 2010.4508
RSPX 7.26511 45.1482 20.338 0.121 15.66 0.135 3331 9.6219 2011.18765
RSTO 14.00148 42.65839 23.178 0.141 18.401 0.151 4778 14.2959 2008.85065
SACR 14.70581 41.3975 21.405 0.25 17.64 0.206 3981 11.5765 2010.21035
SACS 11.90968 42.84904 20.68 0.352 16.2 0.277 3401 9.9562 2011.02055
SALA -5.49586 40.94509 18.76 0.157 16.85 0.157 3311 9.1836 2011.40685
SALB 16.34603 39.87704 23.757 0.262 19.27 0.202 2300 6.5041 2012.74655
SALO 10.52443 45.61832 21.27 0.186 14.94 0.269 3479 10.1425 2010.9274
SASS 13.64329 54.51359 18.84 0.107 14.88 0.142 4631 12.926 2009.5356
SBG2 13.11043 47.80342 20.48 0.141 16.14 0.15 2880 7.918 2012.0396
SBGZ 13.11043 47.80342 20.852 0.184 16.23 0.19 2461 8.0765 2004.03965
SBPO 10.91977 45.051 20.616 0.11 16.84 0.109 3699 10.6082 2010.6945
SCHR 16.08533 40.19023 22.87 0.204 18.9 0.155 2961 9.9014 2010.65615
SCOA -1.68168 43.39524 18.646 0.176 16.315 0.202 3531 10.0466 2010.97535
SCOR -21.95034 70.48533 -10.84 0.177 19.62 0.139 3913 11.0628 2010.4672
SCTE 18.46722 40.07229 23.84 0.13 18.52 0.111 3265 9.9096 2011.0438
SERS 16.68852 39.03594 24.321 0.159 18.05 0.136 3548 10.2877 2010.8548
SFER -6.20564 36.46435 16 0.169 17.028 0.135 5754 15.9973 2008
SGIP 11.18272 44.63553 22.28 0.231 17.629 0.24 3744 10.6164 2010.6904
SGRE 13.50105 42.33621 20.736 0.261 17.711 0.33 2236 6.7123 2012.64245
SGRT 15.74386 41.75461 23.513 0.17 19.37 0.228 3440 9.6027 2011.19725
SGTA 15.36531 41.1356 23.18 0.174 18.91 0.186 3589 10.0219 2010.98765
SIRI 15.86644 40.18351 24.002 0.215 19.169 0.152 3294 9.4137 2011.29175
SKE0 21.04829 64.8792 17.187 0.14 14.36 0.149 4484 12.3671 2009.81505
SKE8 21.04815 64.87921 16.894 0.268 14.22 0.247 1533 4.4822 2013.7575
SKYR 24.56459 38.90445 9.21 0.324 -12.22 0.521 1100 3.0902 2014.45355
SLCN 15.63296 40.39109 22.144 0.298 17.332 0.215 3191 10.5863 2010.70545
SLVT 3.26826 43.9198 19.78 0.23 16.406 0.168 2375 7.1233 2011.25065
SMLA 31.8663 49.20164 22.437 0.231 14.095 0.359 2130 6.337 2012.8301
SMNE 2.42502 48.84445 17.79 0.125 16.205 0.118 5430 15.1202 2008.4385
SMTG -2.02747 48.64108 17.1 0.23 16.29 0.171 2078 5.8685 2013.06435
SNAL 15.20916 40.92546 22.37 0.132 17.75 0.138 4043 11.3661 2010.31555
SNEC 15.73974 50.73588 20.83 1.284 15.219 0.893 1379 4.2548 2007.3123
SODA 26.38905 67.42086 17.882 0.129 13.319 0.147 5362 15.9973 2008
SOFI 23.39473 42.5561 23.749 0.141 12.042 0.133 5519 15.9918 2008.0027
SOPH 7.0541 43.61143 20.445 0.117 15.928 0.13 3275 9.2493 2011.37395
SPRN 16.58306 47.68365 22.03 0.165 15.18 0.193 3113 8.5562 2011.72055
SPT0 12.89135 57.71496 17.33 0.097 14.696 0.088 5212 14.3178 2008.8397
SRJV 18.4139 43.86785 23.21 0.135 15.867 0.153 3981 15.8716 2008.06285
STJ9 7.68382 48.62166 19.42 0.099 15.877 0.11 3313 9.2493 2011.37395
STUE 9.34732 46.47221 22.979 0.319 18.85 0.26 3602 10.1069 2010.9452
SUN6 17.65979 62.23248 16.77 0.265 14.19 0.218 1536 4.2603 2013.8685
SUR4 24.38026 59.46357 19.6 0.251 12.829 0.216 1545 4.2548 2013.8712
SUUR 24.38026 59.46358 19.98 0.256 12.93 0.207 1749 5.011 2009.2192
SVE6 14.70009 62.01737 15.879 0.283 15.131 0.243 1521 4.4822 2013.7575
SVIN 15.23418 38.80281 22.65 0.288 18.09 0.228 3052 8.7562 2010.50275
SVTL 29.78088 60.53286 20.75 0.143 12.04 0.168 4015 11.082 2010.45765
SVTO 16.44049 40.60441 23.42 0.127 19.101 0.144 3254 9.3616 2011.3178
SWKI 22.92822 54.09861 20.46 0.182 14.011 0.199 2785 7.7459 2012.12565
TARI -5.60262 36.00851 16.499 0.466 18.21 0.498 1948 5.6301 2013.18355
TEOL 11.67727 45.34276 20.56 0.103 17.228 0.107 4232 11.7268 2010.13525
TERC -27.15299 38.71899 12.73 0.388 16.27 0.355 2414 6.8685 2012.56435
TERS 5.21939 53.36274 18.309 0.107 14.936 0.106 5829 15.9973 2008
TERU -1.1243 40.3505 19.556 0.143 16.285 0.155 2758 7.6175 2012.18985
THU3 -68.82504 76.53705 -22.582 0.235 4.54 0.233 4942 13.6027 2009.19725
TITO 15.72371 40.60125 23.164 0.176 19.17 0.164 4467 13.9973 2009
TLLG -6.36346 53.29147 15.1 0.174 16.552 0.224 2828 8.7836 2011.60685
TLMF 1.3751 43.57461 19.458 0.151 16.5 0.101 4287 13.5343 2009.2315
TLSE 1.48089 43.5607 19.58 0.089 16.423 0.099 5423 14.9863 2008.50545
TOIL 27.53664 59.42204 20.349 0.163 12.98 0.18 2810 7.7213 2012.13795
TOLF 11.99996 42.06401 20.56 0.195 16.608 0.124 3797 11.7951 2010.10105
TOR2 26.46159 58.26474 20.185 0.222 12.93 0.21 1554 4.2794 2013.8589
TORA 26.4656 58.26549 20.69 0.313 12.6 0.238 1207 3.313 2009.912
TORI 7.66128 45.06337 20.309 0.118 15.859 0.114 5653 15.9973 2008
TRAB 39.77556 40.99471 25.429 0.183 13.54 0.17 2626 7.9041 2003.95345
TRF2 15.85891 47.92796 21.23 0.15 15.292 0.189 2868 7.9153 2012.04095
TRFB 15.85893 47.92796 20.955 0.237 15.421 0.322 1363 3.7896 2006.1858
TRIV 14.55018 41.76657 23.416 0.212 18.687 0.165 3694 11.2568 2010.3702
TRO1 18.93965 69.66272 15.06 0.171 15.12 0.154 5784 15.9973 2008
TROM 18.93832 69.66275 14.67 0.222 15.1 0.201 3167 9.337 2004.6726
TUBI 29.45069 40.78673 20.524 0.16 11.422 0.126 5776 15.9973 2008
TUBO 16.59284 49.2059 20.8 0.093 14.94 0.088 5145 14.2849 2008.85615
TUC2 24.07056 35.53319 8.009 0.196 -12.12 0.167 4050 11.2623 2010.36745
UMBE 12.32862 43.31116 21.04 0.174 16.89 0.152 3343 10.6384 2010.67945
UME6 19.5095 63.57814 16.82 0.239 14.04 0.244 1526 4.4822 2013.7575
UNPG 12.3557 43.11939 21.366 0.136 16.983 0.118 5514 15.9973 2008
UNTR 12.67379 42.55868 20.44 0.275 17.36 0.251 2841 8.874 2011.56165
USAL 18.11149 40.33492 23.907 0.151 18.64 0.146 2126 5.8466 2013.0753
USDL 22.58577 49.43291 21.46 0.173 14.1 0.158 2768 7.7459 2012.12565
USIX 13.17924 38.70781 22.086 0.15 17.186 0.132 1935 7.0195 2009.36595
UZHL 22.29762 48.63198 21.78 0.107 13.72 0.116 5225 15.9973 2008
VAAS 21.77064 62.96119 18.341 0.103 13.578 0.105 5623 15.9973 2008
VACO 13.72418 49.13379 20.378 0.127 15.36 0.136 3729 10.8137 2010.59175
VAE6 12.03509 58.69318 16.391 0.19 15.02 0.212 1480 4.348 2013.82465
VAGA 14.23435 41.41544 22.461 0.295 19.09 0.463 3560 10.7973 2010.6
VALA -4.70832 41.70251 18.466 0.167 16.5 0.158 2832 7.7705 2012.11335
VALC 12.28488 43.27902 21.23 0.176 17.1 0.124 2849 8.7425 2011.6274
VALE -0.33765 39.48083 20.16 0.128 16.35 0.121 5081 15 2008.4986
VEN1 12.35408 45.43057 20.87 0.133 16.74 0.212 2257 6.1918 2012.9027
VENE 12.33199 45.43699 21.402 0.242 17.859 0.395 2634 7.5616 2003.7822
VENT 13.42163 40.79471 21.251 0.105 16.834 0.108 3464 9.9096 2011.0438
VFCH 1.71968 47.2942 18.6 0.111 15.962 0.084 4852 14.3151 2008.8411
VIL0 16.55993 64.69785 15.566 0.121 15.09 0.118 5766 15.9973 2008
VIL6 16.55991 64.6978 15.109 0.235 14.95 0.269 1519 4.4493 2013.77395
VILL -3.95198 40.44359 18.62 0.138 16.54 0.128 5416 15.6065 2008.19535
VIS0 18.36732 57.65387 18.878 0.082 13.96 0.074 5787 15.9973 2008
VIS6 18.36736 57.6539 18.65 0.197 13.749 0.173 1585 4.6219 2013.68765
VLNS 25.29867 54.65314 21.032 0.131 13.85 0.136 4509 13.2849 2009.35615
VLSG 15.64149 38.22442 23.186 0.16 17.98 0.214 3099 10.526 2010.7356
VLSM 20.58865 38.17683 17.097 0.296 4.746 0.239 3105 8.663 2011.6671
VULT 15.6164 40.95494 23.197 0.138 19.3 0.145 3395 10.3671 2010.81505
VVLO 13.62323 41.86965 21.62 0.25 17.51 0.256 5053 14.9945 2008.50135
WARE 5.24531 50.68988 18.25 0.091 15.8 0.095 5675 15.9973 2008
WARN 12.10143 54.16979 18.59 0.107 15.501 0.119 4661 12.8849 2009.55615
WLBH 7.3513 48.41517 19.269 0.181 15.95 0.174 3312 9.2493 2011.37395
WSRT 6.60451 52.91461 17.575 0.09 16.45 0.083 5796 15.9973 2008
WTZR 12.87891 49.1442 20.34 0.104 15.616 0.094 5814 15.9973 2008
YEBE -3.08862 40.5249 18.85 0.09 16.32 0.091 5499 15.2514 2008.37295
ZADA 15.22759 44.11318 21.951 0.232 18.01 0.214 1526 4.2794 2013.8589
ZARA -0.88216 41.6334 19.054 0.137 16.11 0.122 3486 9.5863 2011.20545
ZECK 41.56507 43.78839 25.64 0.161 11.65 0.15 5255 15.9973 2008
ZIM2 7.46503 46.87709 19.454 0.172 15.96 0.171 2944 8.1069 2011.9452
ZIMM 7.46528 46.8771 19.62 0.093 16.28 0.085 5804 15.9973 2008
ZWEN 36.7581 55.69916 23.37 0.666 12.17 0.506 1341 4.8825 2002.44265
ZYWI 19.20596 49.68669 21.09 0.144 15.155 0.139 4241 12.4384 2009.77945
