Site Lon Lat "Ve (mm/yr)" "σe (mm/yr)" "Vn (mm/yr)" "σn (mm/yr)" "# Epochs" "T (years)" "Avg Epoch time"
CDRU 15.30473 40.4897 21.75 0.237 17.22 0.191 3523 10.3288 2010.83425
CEBR -4.36785 40.45343 18.905 0.226 16.19 0.216 2375 6.5205 2012.73835
CELI 16.50876 39.40269 23.945 0.291 18.507 0.227 1207 4.1973 2013.9
CELL 15.89393 38.26031 23.975 0.295 18.084 0.237 3388 10.3151 2010.8411
CERA 14.01797 41.59774 22.117 0.691 17.7 0.391 3249 9.4493 2011.27395
CERT 12.98183 41.9491 21.04 0.244 16.72 0.151 3487 9.7452 2011.126
CESI 12.9046 43.00499 21.788 0.191 18.41 0.246 3173 8.8521 2011.5726
CEUT -5.31133 35.89605 15.035 0.324 17.12 0.369 1712 5.0603 2004.40275
CFRM 18.35319 49.6848 20.64 0.189 15.15 0.198 2199 6.0384 2012.97945
CHIZ -0.4077 46.13346 18.4 0.107 16.42 0.098 4967 15.1995 2008.3989
CIGN 14.90482 41.65419 42.706 1.296 10.78 0.519 3624 10.2931 2010.85205
CLFD 3.11108 45.76096 19.325 0.151 16.216 0.153 3311 9.1507 2011.42325
CLIB 15.0599 50.77171 19.407 0.169 14.78 0.231 2187 6.0384 2012.97945
CMPR 15.30288 40.31785 22.2 0.186 16.895 0.167 3298 10.3315 2010.83285
CNIV 31.3136 51.51894 22.323 0.19 13.118 0.2 3309 9.3836 2011.30685
COBA -4.72111 37.91561 18.68 0.153 16.56 0.165 3724 10.8767 2010.56025
COLR 16.4222 40.19336 23.503 0.254 19.5 0.205 1493 4.2986 2013.8493
COMO 9.09562 45.80216 20.248 0.121 15.74 0.132 4919 13.7041 2009.14655
CONI 13.3932 42.41174 22.19 0.278 16.75 0.221 2376 6.7315 2012.63285
CORL 13.30386 37.89438 21.31 0.158 19.057 0.147 3172 9.0548 2010.8877
COST 28.65753 44.1615 23.49 0.138 12.62 0.12 3574 9.9973 2011
CPAR 15.78325 50.03955 20.394 0.144 15.023 0.17 2199 6.0384 2012.97945
CRAC 16.43518 40.3814 23.45 0.14 19.278 0.13 3402 10.0438 2010.9767
CRAK 13.72924 50.10239 20.11 0.168 15.097 0.168 2199 6.0384 2012.97945
CRAL 0.3672 43.12842 19.044 0.166 16.29 0.199 2051 5.8877 2013.0548
CREI 2.51183 49.26294 18.168 0.118 16.104 0.134 4483 12.4575 2009.76985
CREU 3.3156 42.31884 20.21 0.137 16.263 0.153 5655 15.9863 2008.00545
CRMI 10.97951 43.7956 21.93 0.219 17.186 0.149 2918 9.2164 2011.3904
CSSB 12.24544 43.20928 21.244 0.15 17.03 0.119 2951 9.5096 2011.2438
CTAB 14.68022 49.4098 20.372 0.145 15.03 0.199 2201 6.0384 2012.97945
CUCC 15.81555 39.9938 22.39 0.279 18.148 0.149 3298 10.3151 2010.83835
DARE -2.64049 53.34481 15.639 0.133 16.44 0.116 5614 15.724 2008.1366
DELF 4.38759 51.98612 17.303 0.105 15.797 0.118 5826 15.9973 2008
DENT 3.39967 50.93371 17.435 0.115 16.03 0.088 5745 15.9973 2008
DEVA 22.91354 45.87842 21.742 0.18 12.639 0.144 3551 9.9479 2011.02465
DLF1 4.38746 51.98602 17.503 0.207 16.19 0.282 1591 4.7096 2013.6438
DOUR 4.59495 50.09488 18.23 0.085 15.89 0.093 5728 15.9973 2008
DRAG 35.39207 31.5932 22.89 0.144 20.5 0.121 5360 15.8962 2008.05055
DRES 13.72969 51.02983 19.739 0.138 15.28 0.135 5771 15.9973 2008
DUB2 18.11032 42.65017 23.875 0.378 18.944 0.361 1424 4.0247 2013.9863
DUTH 24.9168 41.14021 24.294 0.282 10.677 0.299 2641 7.2978 2012.3497
DYNG 23.93243 38.07855 8.167 0.343 -11.7 0.436 1566 4.6411 2013.67805
EBRE 0.49236 40.82089 19.95 0.145 16.168 0.165 5679 15.9973 2008
EGLT 2.052 45.40335 19.34 0.131 15.94 0.126 5018 14.2164 2008.8904
EIIV 15.08208 37.5136 22.84 0.21 17.798 0.224 3351 10.1863 2010.90545
EIJS 5.68361 50.75824 17.81 0.089 16.03 0.082 5824 15.9973 2008
ENAV 14.33489 40.58231 21.522 0.139 16.47 0.119 4023 11.389 2009.6712
