x	y	emax	trend	emin	trend	
21.1100	37.4864	4.9933e-08	334.97	-1.3062e-07	64.97	
21.3362	37.4860	4.0482e-08	335.89	-9.2986e-08	65.89	
21.5624	37.4851	3.3378e-08	1.65	-1.8090e-08	91.65	
21.7886	37.4838	5.1368e-08	30.85	-4.0002e-09	120.85	
22.0148	37.4821	4.7666e-08	38.13	3.9155e-09	128.13	
22.2410	37.4800	3.9029e-08	46.33	1.1234e-08	316.33	
22.4671	37.4774	3.3799e-08	57.87	8.1089e-09	327.87	
22.6932	37.4743	2.9912e-08	59.07	3.3662e-09	329.07	
22.9193	37.4709	2.5501e-08	48.37	1.7477e-09	318.37	
23.1454	37.4670	2.2499e-08	32.03	-1.3431e-09	122.03	
23.3713	37.4627	2.3433e-08	22.65	-5.1229e-09	112.65	
23.5973	37.4579	2.5966e-08	19.39	-1.0655e-08	109.39	
23.8232	37.4527	2.6603e-08	19.39	-1.2918e-08	109.39	
24.0490	37.4471	2.3416e-08	19.82	-7.4873e-09	109.82	
24.2747	37.4411	1.6509e-08	19.40	-1.3033e-09	109.40	
24.5004	37.4346	1.2885e-08	20.04	-1.5170e-10	110.04	
24.7260	37.4277	1.2093e-08	20.63	-2.6295e-09	110.63	
24.9516	37.4204	1.1913e-08	18.27	-5.1006e-09	108.27	
19.9764	37.6623	4.6553e-08	320.18	-9.7570e-08	50.18	
20.2032	37.6641	4.3003e-08	326.06	-9.3883e-08	56.06	
20.4299	37.6654	4.3877e-08	334.25	-1.0729e-07	64.25	
20.6567	37.6662	4.7489e-08	337.96	-1.1949e-07	67.96	
20.8835	37.6667	6.0057e-08	341.49	-1.1754e-07	71.49	
21.1102	37.6667	8.1763e-08	345.11	-1.0933e-07	75.11	
21.3370	37.6663	8.5890e-08	348.28	-8.4659e-08	78.28	
21.5638	37.6654	7.2425e-08	1.38	-3.3286e-08	91.38	
21.7905	37.6641	7.0166e-08	16.44	-9.8925e-09	106.44	
22.0173	37.6624	6.3231e-08	16.53	1.5574e-09	106.53	
22.2440	37.6602	5.1665e-08	8.75	8.0646e-09	98.75	
22.4707	37.6576	3.7732e-08	5.86	9.4549e-09	95.86	
22.6973	37.6545	2.9075e-08	26.05	6.5512e-09	116.05	
22.9240	37.6511	3.2393e-08	32.44	-1.2939e-09	122.44	
23.1505	37.6471	3.0236e-08	26.35	-3.8710e-09	116.35	
23.3771	37.6428	2.9718e-08	20.31	-5.7611e-09	110.31	
23.6035	37.6380	3.0154e-08	18.43	-1.0207e-08	108.43	
23.8300	37.6328	2.9077e-08	19.14	-1.3724e-08	109.14	
24.0563	37.6271	2.6149e-08	19.77	-1.0945e-08	109.77	
24.2826	37.6211	2.3076e-08	21.13	-6.8363e-09	111.13	
24.5089	37.6145	1.8652e-08	22.73	-3.7159e-09	112.73	
24.7350	37.6076	1.3852e-08	26.87	-2.1047e-09	116.87	
19.9740	37.8425	5.4803e-08	324.14	-9.6887e-08	54.14	
20.2012	37.8443	4.8639e-08	327.00	-9.3760e-08	57.00	
20.4286	37.8456	4.6230e-08	334.06	-9.7261e-08	64.06	
20.6559	37.8465	5.0235e-08	339.98	-1.0611e-07	69.98	
20.8832	37.8470	6.3890e-08	344.46	-1.0544e-07	74.46	
21.1105	37.8470	9.6379e-08	349.49	-1.0044e-07	79.49	
21.3378	37.8465	1.1903e-07	353.58	-8.7130e-08	83.58	
21.5652	37.8457	1.0812e-07	1.10	-4.8914e-08	91.10	
21.7925	37.8443	1.0121e-07	7.47	-1.8278e-08	97.47	
22.0197	37.8426	1.0332e-07	6.45	-4.8185e-09	96.45	
22.2470	37.8404	9.8952e-08	2.75	-8.5377e-10	92.75	
22.4742	37.8378	8.4047e-08	359.96	-9.2805e-11	89.96	
22.7015	37.8347	6.6665e-08	5.35	1.9006e-09	95.35	
22.9286	37.8312	5.3868e-08	17.94	-1.5604e-09	107.94	
23.1557	37.8273	4.6058e-08	19.36	-3.9984e-09	109.36	
23.3828	37.8229	4.2251e-08	16.75	-4.8738e-09	106.75	
23.6099	37.8181	3.7167e-08	16.88	-7.2292e-09	106.88	
23.8368	37.8128	3.1362e-08	18.16	-1.0159e-08	108.16	
24.0637	37.8071	2.6977e-08	19.11	-1.0510e-08	109.11	
24.2906	37.8010	2.4680e-08	21.09	-8.4453e-09	111.09	
24.5174	37.7945	2.1817e-08	23.12	-6.2979e-09	113.12	
24.7441	37.7875	1.5900e-08	25.90	-3.6772e-09	115.90	
19.9715	38.0228	7.6239e-08	328.75	-9.6274e-08	58.75	
20.1993	38.0245	6.4483e-08	330.54	-9.3623e-08	60.54	
20.4272	38.0259	5.5148e-08	335.72	-9.2026e-08	65.72	
20.6550	38.0268	5.6006e-08	342.87	-9.4832e-08	72.87	
20.8829	38.0272	7.2094e-08	348.23	-9.5249e-08	78.23	
21.1108	38.0272	1.0774e-07	352.65	-9.2580e-08	82.65	
21.3387	38.0268	1.4093e-07	356.18	-8.2930e-08	86.18	
21.5665	38.0259	1.4578e-07	0.71	-5.2866e-08	90.71	
21.7944	38.0246	1.5144e-07	3.46	-2.3874e-08	93.46	
22.0222	38.0228	1.6780e-07	4.37	-9.9927e-09	94.37	
22.2501	38.0206	1.7400e-07	5.09	-3.4547e-09	95.09	
22.4779	38.0180	1.5258e-07	5.02	2.6878e-09	95.02	
22.7056	38.0149	1.2371e-07	5.50	2.3427e-09	95.50	
22.9333	38.0114	9.7836e-08	9.81	-5.3521e-09	99.81	
23.1610	38.0074	7.6667e-08	13.60	-7.3954e-09	103.60	
23.3886	38.0030	6.2995e-08	14.38	-4.8348e-09	104.38	
23.6162	37.9982	4.9423e-08	16.02	-3.6196e-09	106.02	
23.8438	37.9929	3.7803e-08	16.59	-6.3319e-09	106.59	
24.0712	37.9871	3.1283e-08	17.36	-1.0407e-08	107.36	
24.2986	37.9810	2.7283e-08	20.27	-9.5661e-09	110.27	
24.5259	37.9744	2.3173e-08	23.19	-7.5460e-09	113.19	
24.7532	37.9673	1.7916e-08	26.39	-5.4813e-09	116.39	
19.9689	38.2030	9.5697e-08	329.12	-9.9771e-08	59.12	
20.1973	38.2048	8.2142e-08	330.69	-9.6441e-08	60.69	
20.4257	38.2061	6.2972e-08	335.83	-9.0548e-08	65.83	
20.6542	38.2070	5.4230e-08	345.02	-8.7865e-08	75.02	
20.8826	38.2075	7.2442e-08	351.97	-8.8590e-08	81.97	
21.1111	38.2075	1.1611e-07	356.13	-8.7520e-08	86.13	
21.3395	38.2070	1.6360e-07	359.03	-7.8577e-08	89.03	
21.5679	38.2062	1.9553e-07	1.74	-5.5656e-08	91.74	
21.7964	38.2048	2.1903e-07	3.75	-3.1829e-08	93.75	
22.0248	38.2031	2.3326e-07	5.36	-1.3888e-08	95.36	
22.2531	38.2008	2.1890e-07	6.39	2.4793e-10	96.39	
22.4815	38.1982	1.7258e-07	5.64	9.7655e-09	95.64	
22.7098	38.1951	1.3445e-07	4.96	4.7695e-09	94.96	
22.9381	38.1915	1.1046e-07	8.95	-1.0914e-08	98.95	
23.1663	38.1875	9.1093e-08	13.39	-1.5752e-08	103.39	
23.3945	38.1831	7.4057e-08	15.48	-6.9552e-09	105.48	
23.6227	38.1782	5.7436e-08	17.78	-3.8215e-10	107.78	
23.8507	38.1729	4.4387e-08	16.63	-3.0548e-09	106.63	
24.0788	38.1671	3.6707e-08	15.99	-1.0232e-08	105.99	
24.3067	38.1609	3.1233e-08	20.20	-1.1125e-08	110.20	
24.5346	38.1543	2.6244e-08	25.03	-9.4079e-09	115.03	
24.7624	38.1472	2.2655e-08	29.66	-7.8622e-09	119.66	
19.9664	38.3832	1.0367e-07	328.07	-1.0336e-07	58.07	
20.1953	38.3850	8.7705e-08	329.57	-9.8096e-08	59.57	
20.4243	38.3864	5.4822e-08	336.04	-8.4986e-08	66.04	
20.6533	38.3873	3.5821e-08	349.12	-7.9539e-08	79.12	
20.8823	38.3877	5.6245e-08	357.21	-8.3542e-08	87.21	
21.1113	38.3877	1.1552e-07	0.76	-8.5217e-08	90.76	
21.3403	38.3873	1.8192e-07	3.09	-7.7466e-08	93.09	
21.5693	38.3864	2.2277e-07	5.10	-5.7799e-08	95.10	
21.7983	38.3851	2.4307e-07	6.95	-3.9792e-08	96.95	
22.0273	38.3833	2.4211e-07	7.84	-2.0956e-08	97.84	
22.2562	38.3810	2.1040e-07	6.53	1.8428e-09	96.53	
22.4852	38.3784	1.6039e-07	3.64	1.2505e-08	93.64	
22.7140	38.3752	1.2246e-07	4.13	4.8100e-09	94.13	
22.9429	38.3717	9.8779e-08	10.14	-1.4529e-08	100.14	
23.1717	38.3677	8.6006e-08	14.80	-2.2731e-08	104.80	
23.4004	38.3632	7.1159e-08	17.71	-1.1405e-08	107.71	
23.6291	38.3583	5.4710e-08	19.39	-9.7587e-10	109.39	
23.8578	38.3529	4.2903e-08	15.84	-2.6852e-09	105.84	
24.0864	38.3471	3.5618e-08	13.34	-1.0722e-08	103.34	
24.3149	38.3409	3.0465e-08	18.39	-1.2810e-08	108.39	
24.5433	38.3342	2.7199e-08	25.91	-1.1036e-08	115.91	
24.7717	38.3271	2.6995e-08	31.75	-9.5939e-09	121.75	
19.9638	38.5634	1.0082e-07	325.52	-9.6988e-08	55.52	
20.1933	38.5652	7.3909e-08	329.00	-9.2476e-08	59.00	
20.4229	38.5666	2.8767e-08	339.71	-7.6337e-08	69.71	
20.6525	38.5675	1.4331e-08	356.47	-7.5069e-08	86.47	
20.8820	38.5680	3.9081e-08	3.11	-8.2006e-08	93.11	
21.1116	38.5680	1.1054e-07	5.07	-8.5231e-08	95.07	
21.3412	38.5675	1.8266e-07	6.61	-7.6366e-08	96.61	
21.5708	38.5666	2.0366e-07	7.49	-5.5511e-08	97.49	
21.8003	38.5653	2.0410e-07	9.26	-4.0503e-08	99.26	
22.0299	38.5635	1.9197e-07	10.59	-2.6519e-08	100.59	
22.2594	38.5612	1.6606e-07	8.06	-4.3710e-09	98.06	
22.4889	38.5585	1.3719e-07	3.32	7.4183e-09	93.32	
22.7183	38.5554	1.0462e-07	4.55	1.6096e-09	94.55	
22.9477	38.5518	7.9695e-08	12.01	-1.6115e-08	102.01	
23.1771	38.5478	7.0725e-08	16.86	-2.4393e-08	106.86	
23.4064	38.5433	6.0608e-08	20.21	-1.6861e-08	110.21	
23.6357	38.5383	4.9993e-08	20.85	-8.7546e-09	110.85	
23.8649	38.5329	4.1836e-08	17.32	-9.0266e-09	107.32	
24.0941	38.5271	3.5426e-08	12.74	-1.6892e-08	102.74	
24.3231	38.5208	2.9752e-08	13.94	-1.9161e-08	103.94	
24.5521	38.5141	2.6052e-08	22.54	-1.3892e-08	112.54	
24.7811	38.5069	2.7532e-08	31.29	-1.0585e-08	121.29	
19.9612	38.7436	9.3776e-08	133.81	-5.9723e-08	43.81	
20.1913	38.7455	6.2644e-08	323.26	-6.5699e-08	53.26	
20.4214	38.7468	1.9342e-08	343.65	-6.9435e-08	73.65	
20.6516	38.7477	2.0233e-08	358.16	-7.7875e-08	88.16	
20.8817	38.7482	4.7669e-08	1.96	-8.3175e-08	91.96	
21.1119	38.7482	9.4800e-08	5.15	-8.3070e-08	95.15	
21.3420	38.7478	1.3655e-07	8.43	-7.0113e-08	98.43	
21.5722	38.7469	1.4461e-07	8.24	-4.9873e-08	98.24	
21.8023	38.7455	1.3989e-07	8.96	-3.6686e-08	98.96	
22.0324	38.7437	1.3098e-07	11.02	-2.6120e-08	101.02	
22.2625	38.7414	1.1614e-07	9.63	-9.4354e-09	99.63	
22.4926	38.7387	1.0409e-07	5.05	1.1029e-09	95.05	
22.7226	38.7356	8.8966e-08	4.32	-1.1654e-09	94.32	
22.9526	38.7319	7.1049e-08	10.44	-1.4165e-08	100.44	
23.1826	38.7279	6.2084e-08	16.91	-2.2411e-08	106.91	
23.4125	38.7234	5.4281e-08	20.37	-2.0888e-08	110.37	
23.6423	38.7184	4.8996e-08	21.37	-1.8682e-08	111.37	
23.8721	38.7130	4.5163e-08	19.69	-2.2024e-08	109.69	
24.1018	38.7071	4.0902e-08	15.60	-3.1956e-08	105.60	
24.3314	38.7008	3.6290e-08	12.88	-3.7791e-08	102.88	
24.5610	38.6940	3.0918e-08	14.96	-2.9992e-08	104.96	
19.9586	38.9238	7.2703e-08	319.94	-3.7805e-08	49.94	
20.1893	38.9257	6.9745e-08	330.49	-4.5181e-08	60.49	
20.4200	38.9270	6.4554e-08	345.33	-5.9910e-08	75.33	
20.6507	38.9280	6.6464e-08	355.85	-7.8319e-08	85.85	
20.8814	38.9284	7.5789e-08	359.92	-8.2051e-08	89.92	
21.1122	38.9284	8.3283e-08	3.13	-7.2239e-08	93.13	
21.3429	38.9280	8.1459e-08	8.54	-5.1541e-08	98.54	
21.5736	38.9271	8.1121e-08	9.24	-3.6745e-08	99.24	
21.8043	38.9257	8.1476e-08	6.92	-3.1230e-08	96.92	
22.0350	38.9239	8.1119e-08	8.96	-2.4414e-08	98.96	
22.2657	38.9216	7.9976e-08	9.19	-1.0869e-08	99.19	
22.4964	38.9189	8.0342e-08	5.13	-1.1583e-09	95.13	
22.7270	38.9157	8.0499e-08	2.81	-8.3140e-10	92.81	
22.9575	38.9121	7.6738e-08	5.81	-8.4002e-09	95.81	
23.1881	38.9080	6.8963e-08	11.55	-1.7049e-08	101.55	
23.4185	38.9034	5.7276e-08	15.94	-2.0777e-08	105.94	
23.6490	38.8984	4.9802e-08	18.86	-2.3427e-08	108.86	
23.8793	38.8930	4.6726e-08	19.16	-3.0009e-08	109.16	
24.1096	38.8871	4.4309e-08	16.73	-4.0779e-08	106.73	
24.3398	38.8807	4.1885e-08	14.05	-4.9370e-08	104.05	
24.5700	38.8739	4.2730e-08	11.82	-5.9363e-08	101.82	
24.8001	38.8666	5.5416e-08	10.43	-7.8507e-08	100.43	
25.0301	38.8589	5.6607e-08	11.02	-6.7021e-08	101.02	
19.9559	39.1040	7.1029e-08	350.23	-1.3974e-08	80.23	
20.1872	39.1059	7.5905e-08	348.44	-2.5744e-08	78.44	
20.4185	39.1073	8.0729e-08	351.45	-4.2440e-08	81.45	
20.6498	39.1082	7.9702e-08	357.50	-6.5940e-08	87.50	
20.8811	39.1087	7.6279e-08	2.02	-7.4559e-08	92.02	
21.1125	39.1087	6.9186e-08	3.24	-5.0093e-08	93.24	
21.3438	39.1082	5.0871e-08	7.62	-2.4076e-08	97.62	
21.5751	39.1073	4.1923e-08	11.10	-1.4604e-08	101.10	
21.8064	39.1059	4.3656e-08	8.28	-1.6900e-08	98.28	
22.0377	39.1041	4.8675e-08	10.74	-1.6735e-08	100.74	
22.2689	39.1018	5.5568e-08	11.63	-7.4469e-09	101.63	
22.5002	39.0991	6.5075e-08	7.87	1.6537e-09	97.87	
22.7314	39.0959	7.3752e-08	5.03	6.2579e-09	95.03	
22.9625	39.0922	7.6327e-08	4.94	1.3159e-09	94.94	
23.1936	39.0881	7.4627e-08	7.51	-1.2174e-08	97.51	
23.4247	39.0835	6.6633e-08	10.17	-1.9777e-08	100.17	
23.6557	39.0785	5.4813e-08	13.23	-2.4608e-08	103.23	
23.8866	39.0730	4.6856e-08	16.27	-3.1191e-08	106.27	
24.1175	39.0670	4.4937e-08	16.55	-4.2711e-08	106.55	
24.3483	39.0606	5.0551e-08	12.87	-7.1026e-08	102.87	
24.5790	39.0538	6.7033e-08	9.44	-1.1469e-07	99.44	
24.8097	39.0464	7.0432e-08	8.75	-1.1925e-07	98.75	
25.0403	39.0387	6.7944e-08	8.67	-1.1004e-07	98.67	
19.9533	39.2842	5.7486e-08	352.16	-3.6277e-09	82.16	
20.1851	39.2861	6.5159e-08	352.06	-1.8932e-09	82.06	
20.4170	39.2875	6.8935e-08	352.97	-1.2498e-08	82.97	
20.6489	39.2884	6.6356e-08	357.92	-3.2084e-08	87.92	
20.8808	39.2889	5.8970e-08	3.42	-4.7057e-08	93.42	
21.1127	39.2889	4.7200e-08	3.93	-2.2222e-08	93.93	
21.3447	39.2884	3.3786e-08	7.55	-6.1731e-09	97.55	
21.5766	39.2875	2.8410e-08	12.59	-2.1259e-09	102.59	
21.8085	39.2861	2.9321e-08	14.51	-5.2868e-09	104.51	
22.0403	39.2843	3.2884e-08	17.42	-8.6615e-09	107.42	
22.2722	39.2820	3.7698e-08	17.97	-2.3540e-09	107.97	
22.5040	39.2792	4.7312e-08	15.29	7.6820e-09	105.29	
22.7358	39.2760	6.0661e-08	13.06	1.7717e-08	103.06	
22.9675	39.2723	6.6788e-08	8.84	1.5980e-08	98.84	
23.1992	39.2682	6.8868e-08	8.65	-5.3188e-09	98.65	
23.4309	39.2636	6.7412e-08	10.61	-1.8205e-08	100.61	
23.6625	39.2585	6.0358e-08	11.76	-2.5642e-08	101.76	
23.8940	39.2530	4.8979e-08	12.15	-3.2448e-08	102.15	
24.1255	39.2470	5.0638e-08	11.10	-6.3307e-08	101.10	
24.3569	39.2405	6.9236e-08	9.51	-1.2054e-07	99.51	
24.5882	39.2336	7.1828e-08	8.98	-1.2427e-07	98.98	
24.8194	39.2263	7.2311e-08	8.70	-1.2301e-07	98.70	
19.9506	39.4644	2.1939e-08	130.22	-8.2426e-09	40.22	
20.1830	39.4663	2.5910e-08	330.61	1.1650e-08	60.61	
20.4155	39.4677	3.6898e-08	356.39	8.1907e-09	86.39	
20.6480	39.4686	4.1224e-08	2.98	-4.8633e-09	92.98	
20.8805	39.4691	3.6818e-08	5.32	-1.8063e-08	95.32	
21.1130	39.4691	2.8412e-08	7.16	-1.1018e-08	97.16	
21.3455	39.4686	2.0929e-08	11.56	-4.0006e-09	101.56	
21.5780	39.4677	1.8019e-08	14.08	-8.9981e-10	104.08	
21.8105	39.4663	1.8256e-08	14.60	-2.9870e-09	104.60	
22.0430	39.4645	1.7657e-08	16.48	-6.3271e-09	106.48	
22.2755	39.4622	1.6934e-08	16.58	-5.9584e-10	106.58	
22.5079	39.4594	2.0147e-08	12.55	1.0607e-08	102.55	
22.7402	39.4561	2.8894e-08	28.45	2.4492e-08	118.45	
