x	y	emax	trend	emin	trend	
19.9423	40.0049	4.8844e-08	90.76	-1.6076e-08	0.76	
20.1766	40.0068	4.4242e-08	70.24	-1.4956e-08	340.24	
20.4109	40.0083	3.4590e-08	61.61	-1.2993e-08	331.61	
20.8796	40.0097	6.9441e-09	347.99	-1.3174e-08	77.99	
21.1139	40.0097	1.4974e-08	338.57	-1.5444e-08	68.57	
21.3483	40.0092	1.5557e-08	335.58	-1.2680e-08	65.58	
21.5826	40.0083	1.3441e-08	337.93	-8.2078e-09	67.93	
21.8169	40.0069	1.3134e-08	349.71	-1.8641e-09	79.71	
22.0512	40.0050	1.7715e-08	11.30	1.2179e-09	101.30	
22.2855	40.0026	2.5037e-08	20.09	2.5241e-10	110.09	
22.5197	39.9998	3.1063e-08	18.77	2.5892e-09	108.77	
22.7539	39.9965	3.5554e-08	11.72	5.7878e-09	101.72	
22.9880	39.9927	4.1308e-08	5.23	2.7111e-09	95.23	
23.2222	39.9885	4.9861e-08	5.08	-6.6609e-09	95.08	
23.4562	39.9837	6.0837e-08	5.10	-1.5962e-08	95.10	
23.6902	39.9785	7.4846e-08	4.32	-2.8436e-08	94.32	
23.9242	39.9729	8.4820e-08	4.55	-7.0148e-08	94.55	
24.1580	39.9667	8.8269e-08	4.75	-1.0567e-07	94.75	
24.3918	39.9601	8.8634e-08	5.45	-1.0687e-07	95.45	
24.6255	39.9530	8.7604e-08	6.96	-1.0446e-07	96.96	
24.8592	39.9455	8.6553e-08	8.76	-1.0172e-07	98.76	
19.9395	40.1851	5.8483e-08	87.66	-1.1409e-08	357.66	
20.1744	40.1870	4.5610e-08	70.19	-8.5616e-09	340.19	
20.4094	40.1884	1.9660e-08	71.82	-3.9688e-10	341.82	
20.8793	40.1899	1.0980e-08	345.56	-1.5314e-08	75.56	
21.1142	40.1899	1.8207e-08	336.94	-1.5253e-08	66.94	
21.3492	40.1894	1.8736e-08	333.87	-1.1847e-08	63.87	
21.5841	40.1885	1.5448e-08	336.30	-5.4656e-09	66.30	
21.8191	40.1871	1.4365e-08	356.30	3.3771e-09	86.30	
22.0540	40.1852	2.2305e-08	23.57	5.6513e-09	113.57	
22.2888	40.1828	3.1328e-08	27.47	3.2154e-09	117.47	
22.5237	40.1799	3.6128e-08	21.81	-5.9187e-09	111.81	
22.7585	40.1766	3.9010e-08	14.73	-1.6117e-08	104.73	
22.9933	40.1728	4.1424e-08	12.96	-1.9330e-08	102.96	
23.2280	40.1685	4.4198e-08	14.53	-2.1628e-08	104.53	
23.4627	40.1638	4.9173e-08	13.71	-2.2313e-08	103.71	
23.6973	40.1585	5.7739e-08	12.00	-2.3039e-08	102.00	
23.9319	40.1528	7.2949e-08	11.23	-4.5612e-08	101.23	
24.1664	40.1466	8.4171e-08	10.72	-8.8660e-08	100.72	
24.4008	40.1400	8.5052e-08	11.60	-9.1071e-08	101.60	
24.6351	40.1329	8.5235e-08	11.97	-9.0666e-08	101.97	
24.8693	40.1253	8.5267e-08	12.09	-9.0487e-08	102.09	
19.9367	40.3653	7.0270e-08	94.85	-7.7122e-09	4.85	
20.1723	40.3672	4.4224e-08	96.77	-1.3041e-09	6.77	
20.4078	40.3686	1.5753e-08	112.67	9.1637e-11	22.67	
20.6434	40.3696	8.2178e-09	344.89	-9.1919e-09	74.89	
20.8789	40.3701	1.6874e-08	340.08	-1.5107e-08	70.08	
21.1145	40.3701	2.1841e-08	333.15	-1.3400e-08	63.15	
21.3501	40.3696	2.0965e-08	331.07	-1.1301e-08	61.07	
21.5857	40.3687	1.6265e-08	330.12	-7.4621e-09	60.12	
21.8212	40.3672	1.0776e-08	332.73	1.0567e-09	62.73	
22.0568	40.3653	1.4351e-08	18.66	6.5577e-09	108.66	
22.2923	40.3629	2.5132e-08	22.63	4.5466e-09	112.63	
22.5277	40.3600	2.9735e-08	18.29	-2.4668e-09	108.29	
22.7632	40.3567	3.1833e-08	16.15	-1.4942e-08	106.15	
22.9986	40.3529	3.1194e-08	18.79	-2.4472e-08	108.79	
23.2339	40.3486	2.9576e-08	18.62	-2.4257e-08	108.62	
23.4692	40.3438	3.0399e-08	12.47	-2.1204e-08	102.47	
23.7045	40.3385	3.4569e-08	10.72	-1.9900e-08	100.72	
23.9396	40.3328	4.4221e-08	14.70	-2.2157e-08	104.70	
24.1748	40.3265	7.4040e-08	12.37	-7.2071e-08	102.37	
24.4098	40.3199	8.4514e-08	12.18	-8.9031e-08	102.18	
24.6447	40.3127	8.5278e-08	12.23	-8.9854e-08	102.23	
24.8796	40.3050	8.5320e-08	12.22	-8.9941e-08	102.22	
25.1143	40.2969	8.5293e-08	12.21	-8.9987e-08	102.21	
19.9339	40.5454	1.0954e-07	109.14	-1.9884e-08	19.14	
20.1700	40.5473	6.5666e-08	111.73	-1.1589e-08	21.73	
20.6424	40.5498	1.9274e-08	338.41	-1.2044e-08	68.41	
20.8786	40.5503	2.5834e-08	333.81	-1.4038e-08	63.81	
21.1148	40.5503	2.4595e-08	330.45	-1.3139e-08	60.45	
21.3510	40.5498	2.2329e-08	327.73	-1.4139e-08	57.73	
21.5872	40.5488	1.6810e-08	320.89	-1.5845e-08	50.89	
21.8234	40.5474	9.6555e-09	127.39	-1.5562e-08	37.39	
22.0596	40.5455	7.0074e-09	120.17	-8.8894e-09	30.17	
22.2957	40.5431	8.6435e-09	1.23	3.3235e-09	91.23	
22.5318	40.5402	1.9260e-08	14.82	-1.1606e-10	104.82	
22.7679	40.5368	2.1192e-08	15.99	-5.7195e-09	105.99	
23.0039	40.5329	2.2037e-08	16.12	-1.7337e-08	106.12	
23.2399	40.5286	2.4263e-08	9.19	-1.9408e-08	99.19	
23.4758	40.5238	2.7267e-08	6.14	-1.9818e-08	96.14	
23.7117	40.5185	3.1804e-08	10.34	-1.6422e-08	100.34	
23.9475	40.5127	3.7794e-08	18.01	-9.4002e-09	108.01	
24.1832	40.5065	4.8036e-08	16.41	-2.2836e-08	106.41	
24.4189	40.4997	7.9646e-08	12.72	-7.8244e-08	102.72	
24.6544	40.4925	8.5546e-08	12.42	-8.8780e-08	102.42	
24.8899	40.4848	8.5662e-08	12.35	-8.9538e-08	102.35	
25.1253	40.4766	8.5516e-08	12.29	-8.9744e-08	102.29	
20.6415	40.7299	3.3950e-08	334.21	-1.3646e-08	64.21	
20.8783	40.7304	3.1146e-08	330.83	-1.4614e-08	60.83	
21.1151	40.7304	2.6418e-08	326.49	-1.6528e-08	56.49	
21.3520	40.7300	2.5010e-08	323.51	-1.8823e-08	53.51	
21.5888	40.7290	2.0023e-08	318.15	-2.0383e-08	48.15	
21.8256	40.7275	1.0606e-08	124.31	-2.2077e-08	34.31	
22.0624	40.7256	5.9777e-09	113.36	-1.9390e-08	23.36	
22.5360	40.7203	1.3313e-08	15.37	-1.1184e-09	105.37	
22.7727	40.7169	1.9805e-08	7.16	-3.9173e-09	97.16	
23.0093	40.7130	2.4563e-08	4.07	-1.3272e-08	94.07	
23.2459	40.7086	2.6185e-08	4.34	-1.9312e-08	94.34	
23.4825	40.7038	2.7367e-08	5.48	-1.8695e-08	95.48	
23.7190	40.6985	3.1456e-08	12.72	-1.1047e-08	102.72	
23.9554	40.6927	3.6550e-08	20.75	-4.1961e-09	110.75	
24.1918	40.6864	3.8525e-08	22.02	-3.9122e-09	112.02	
24.4281	40.6796	5.3721e-08	16.54	-2.8331e-08	106.54	
24.6643	40.6723	8.3745e-08	13.31	-7.9928e-08	103.31	
24.9004	40.6646	8.6862e-08	12.81	-8.7826e-08	102.81	
25.1364	40.6563	8.6373e-08	12.58	-8.8852e-08	102.58	
21.1155	40.9106	2.7451e-08	323.69	-1.9488e-08	53.69	
21.3529	40.9101	2.6682e-08	322.77	-1.9984e-08	52.77	
21.5904	40.9092	2.2772e-08	319.52	-2.0469e-08	49.52	
21.8279	40.9077	1.1296e-08	125.26	-2.2314e-08	35.26	
22.0653	40.9057	4.3698e-09	107.68	-2.3931e-08	17.68	
22.5401	40.9004	1.2922e-08	8.30	-3.2205e-09	98.30	
22.7775	40.8970	2.4103e-08	358.76	-6.2619e-09	88.76	
23.0148	40.8931	2.6765e-08	0.53	-1.3433e-08	90.53	
23.2520	40.8887	2.6419e-08	3.76	-1.9025e-08	93.76	
23.4892	40.8838	2.6963e-08	6.48	-1.5405e-08	96.48	
23.7263	40.8784	3.1816e-08	16.27	-5.8888e-09	106.27	
23.9634	40.8726	3.6330e-08	22.13	-2.2819e-09	112.13	
24.2004	40.8662	3.7464e-08	23.12	-1.8366e-09	113.12	
24.4373	40.8594	3.9606e-08	22.45	-3.9893e-09	112.45	
24.6742	40.8521	6.2593e-08	17.21	-3.4964e-08	107.21	
24.9109	40.8443	8.9119e-08	14.52	-7.8768e-08	104.52	
21.3539	41.0903	2.7239e-08	322.91	-2.0023e-08	52.91	
21.5920	41.0893	2.4374e-08	320.80	-2.0215e-08	50.80	
21.8301	41.0878	1.1500e-08	126.58	-2.1845e-08	36.58	
22.5443	41.0805	1.8868e-08	359.98	-6.2016e-09	89.98	
22.7823	41.0770	2.6677e-08	356.45	-7.7122e-09	86.45	
23.0203	41.0731	2.7031e-08	359.63	-1.2573e-08	89.63	
23.2581	41.0687	2.5732e-08	3.91	-1.6933e-08	93.91	
23.4960	41.0638	2.6392e-08	8.67	-1.0089e-08	98.67	
23.7338	41.0584	3.2303e-08	19.00	-2.8638e-09	109.00	
23.9715	41.0525	3.6278e-08	22.65	-1.6331e-09	112.65	
24.2091	41.0461	3.7301e-08	23.27	-1.5590e-09	113.27	
24.4467	41.0393	3.7812e-08	23.39	-1.7200e-09	113.39	
24.6842	41.0319	4.2553e-08	22.83	-5.2261e-09	112.83	
